candidate_id,family,symbol,threshold,periods_per_year,observation_count,trade_count,position_change_count,total_trading_sides,average_absolute_exposure,long_exposure_fraction,short_exposure_fraction,flat_fraction,total_transaction_cost,total_spread_cost,total_commission_cost,gross_total_return,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_calmar,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_max_drawdown,net_calmar,cost_to_gross_profit_ratio,trade_win_rate,average_net_trade_return,median_net_trade_return,average_holding_hours,maximum_holding_hours,lookback,entry_z,fast_window,slow_window,window,num_std,exit_z,entry_band,span,exit_num_std,num_atr,expansion_multiple,atr_multiple,exit_atr_multiple,fast_span,slow_span,signal_span,return_threshold,volume_ratio,corr_window,adx_threshold
carry__AUDUSD__threshold-0,carry,AUDUSD,0.0,6225.189415041783,41301,7,8,13.0,0.9872642308902932,0.3846395971041863,0.6026246337861069,0.0127357691097067,0.0014369465723749,0.0007869465723749,0.00065,0.2510749463276511,0.0343398475900005,0.111315864919236,0.3589764465421275,-0.2445037702766841,0.1404471086525211,0.2492771848766231,0.0341156818944676,0.1113173070626191,0.3570261225538262,-0.2448903386452119,0.1393100360071502,7.482992120665172e-05,0.5714285714285714,0.0377457022707177,0.029287707168659,8199.107142857143,24166.25,,,,,,,,,,,,,,,,,,,,,
carry__AUDUSD__threshold-0p25,carry,AUDUSD,0.25,6225.189415041783,41301,4,7,7.0,0.5629161521512797,0.0722016416067407,0.4907145105445388,0.4370838478487204,0.00060994985068,0.00025994985068,0.00035,0.1125716858278236,0.0162086707552799,0.0804864675121563,0.2400210488484867,-0.1388060609145197,0.1167720677936512,0.1118933263000554,0.0161152551792216,0.0804863926202785,0.2388790156028952,-0.138806060914514,0.1160990742986825,5.740899805227786e-05,0.75,0.0276592888285107,0.026472781380985,8162.3125,21939.0,,,,,,,,,,,,,,,,,,,,,
carry__AUDUSD__threshold-0p5,carry,AUDUSD,0.5,6225.189415041783,41301,5,9,9.0,0.3727754775913416,0.0466332534321202,0.3261422241592213,0.6272245224086583,0.0007841761358956,0.0003341761358956,0.00045,-0.0013814663024885,-0.0002083469789516,0.0624953620894184,0.0279268891129409,-0.1492365539242333,-0.0013960854326443,-0.002164522881113,-0.000326553023499,0.0624960149544224,0.0260353283949636,-0.1495331761409718,-0.0021838165410944,0.0001184715420068,0.4,0.0009381160920051,-0.0078607505678993,4344.3,16101.25,,,,,,,,,,,,,,,,,,,,,
carry__AUDUSD__threshold-0p75,carry,AUDUSD,0.75,6225.859956461372,41434,2,4,4.0,0.2996090167495294,0.0,0.2996090167495294,0.7003909832504707,0.0003499944275969,0.0001499944275969,0.0002,0.0017353162775342,0.0002605560443063,0.0578818074638526,0.0334555908602195,-0.1270220688472674,0.0020512659467041,0.0013844828424298,0.0002079096960758,0.0578825652207517,0.0325465882120619,-0.1270220688472682,0.0016367997936316,6.340147653107024e-05,0.5,0.0037986419141924,0.0037986419141924,8769.75,16101.25,,,,,,,,,,,,,,,,,,,,,
carry__AUDUSD__threshold-1,carry,AUDUSD,1.0,6225.859956461372,41434,1,2,2.0,0.1504320123570015,0.0,0.1504320123570015,0.8495679876429985,0.0001744799200334,7.447992003343793e-05,0.0001,0.0156385794006452,0.0023343837205582,0.0442360243806082,0.0748339974618198,-0.072738869645288,0.0320926587386073,0.0154614367865568,0.0023081130499378,0.0442358557678194,0.0742416119386424,-0.0727388696452898,0.0317314946079491,5.637327268958366e-05,1.0,0.0155505557858524,0.0155505557858524,8760.0,8760.0,,,,,,,,,,,,,,,,,,,,,
carry__EURUSD__threshold-0,carry,EURUSD,0.0,6225.189415041783,41301,1,1,1.0,0.9999757875111984,0.0,0.9999757875111984,2.4212488801723928e-05,7.22781651703636e-05,2.2278165170363588e-05,5e-05,-0.0782030935613846,-0.0121987642497383,0.0772357708465685,-0.1202948303817419,-0.2237704015221591,-0.0545146461138664,-0.078269734201044,-0.0122095283767051,0.0772358071673036,-0.1204358261968166,-0.2237704015221626,-0.0545627495578137,5.585020357954429e-06,0.0,-0.078269734201044,-0.078269734201044,58158.0,58158.0,,,,,,,,,,,,,,,,,,,,,
carry__EURUSD__threshold-0p25,carry,EURUSD,0.25,6225.189415041783,41301,1,1,1.0,0.9999757875111984,0.0,0.9999757875111984,2.4212488801723928e-05,7.22781651703636e-05,2.2278165170363588e-05,5e-05,-0.0782030935613846,-0.0121987642497383,0.0772357708465685,-0.1202948303817419,-0.2237704015221591,-0.0545146461138664,-0.078269734201044,-0.0122095283767051,0.0772358071673036,-0.1204358261968166,-0.2237704015221626,-0.0545627495578137,5.585020357954429e-06,0.0,-0.078269734201044,-0.078269734201044,58158.0,58158.0,,,,,,,,,,,,,,,,,,,,,
carry__EURUSD__threshold-0p5,carry,EURUSD,0.5,6225.189415041783,41301,1,1,1.0,0.9999757875111984,0.0,0.9999757875111984,2.4212488801723928e-05,7.22781651703636e-05,2.2278165170363588e-05,5e-05,-0.0782030935613846,-0.0121987642497383,0.0772357708465685,-0.1202948303817419,-0.2237704015221591,-0.0545146461138664,-0.078269734201044,-0.0122095283767051,0.0772358071673036,-0.1204358261968166,-0.2237704015221626,-0.0545627495578137,5.585020357954429e-06,0.0,-0.078269734201044,-0.078269734201044,58158.0,58158.0,,,,,,,,,,,,,,,,,,,,,
carry__EURUSD__threshold-0p75,carry,EURUSD,0.75,6225.859956461372,41434,2,3,3.0,0.7122652893758749,0.0,0.7122652893758749,0.2877347106241251,0.0002172322667402,6.723226674025548e-05,0.00015,-0.0469278799823316,-0.0071961697600034,0.0687782022390814,-0.0706157673537196,-0.2237704015221533,-0.0321587203269644,-0.0471348968509848,-0.007228575801394,0.068778204911632,-0.0710903517685303,-0.223770401522158,-0.032303538592338,2.255469120982768e-05,0.5,-0.0230961160092651,-0.0230961160092651,20781.5,39403.0,,,,,,,,,,,,,,,,,,,,,
carry__EURUSD__threshold-1,carry,EURUSD,1.0,6225.859956461372,41434,2,3,3.0,0.6868755128638316,0.0,0.6868755128638316,0.3131244871361683,0.0002186547690473,6.865476904733712e-05,0.00015,-0.1014585074902525,-0.0159466257409047,0.0670625956598002,-0.2061696532687076,-0.2237704015221567,-0.0712633379232946,-0.1016549497882697,-0.0159789551936886,0.067062578056281,-0.2066596229041151,-0.2237704015221594,-0.0714078139244268,2.389248902590544e-05,0.5,-0.0499708091172418,-0.0499708091172418,20039.0,37918.0,,,,,,,,,,,,,,,,,,,,,
