candidate_id,family,symbol,lookback,entry_z,return_stress_multiplier,spread_stress_multiplier,synthetic_total_return,synthetic_annual_return,synthetic_annual_volatility,synthetic_sharpe,synthetic_max_drawdown,synthetic_calmar,synthetic_observation_count,synthetic_terminal_nav,synthetic_worst_bar_return,synthetic_total_spread_cost,synthetic_total_commission_cost,synthetic_total_transaction_cost,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,1.5,2.0,-0.999995767384768,-0.8543103517522395,1.0207443710409723,-1.3685382422488888,-0.9999959889655979,-0.8543137784341949,40005,4.232615231954884e-06,-0.34370896502327786,2.9763859636257664,0.16375,3.1401359636257666,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,1.5,2.0,-0.999920012625556,-0.7697760311583308,1.0383582879197362,-0.8887622876436247,-0.9999483945560114,-0.7698157578423037,40005,7.998737444407181e-05,-0.34370896502327786,1.6096678179303745,0.08895,1.6986178179303746,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,1.5,2.0,-0.9998545661494088,-0.7473182116773467,1.0667550425932266,-0.7433971204909351,-0.9999261419085518,-0.7473734112511008,40005,0.00014543385059119523,-0.4290968449857082,0.8601541058735682,0.04735,0.9075041058735682,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,1.5,2.0,-0.9999850049602464,-0.8225998293011969,0.9527792184997563,-1.330198327796883,-0.9999859975810264,-0.8226113478499419,40005,1.4995039753561303e-05,-0.34370896502327786,2.2984916143220335,0.12664999999999998,2.4251416143220332,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,1.5,2.0,-0.9999458435089067,-0.7833385951963241,0.9734950240959191,-1.0765791412445809,-0.999958318075001,-0.7833712476179137,40005,5.4156491093266945e-05,-0.34370896502327786,1.25480678791138,0.06815000000000002,1.3229567879113802,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,1.5,2.0,-0.9999228033711324,-0.771045413737346,1.0232337538448968,-0.915453096890808,-0.999956900791681,-0.7710786466165669,40005,7.71966288676486e-05,-0.4290968449857082,0.6761292896048332,0.03635,0.7124792896048331,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,1.5,2.0,-0.017333757730756627,-0.0027345227836924613,0.24495975144418955,0.11094726825065314,-0.4227384232976088,-0.0064685929477656,38223,0.9826662422692434,-0.05734041578899168,0.2231711203484659,0.16445,0.38762112034846596,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,1.5,2.0,-0.20024153063016803,-0.03438644759455223,0.2561570941246722,-0.008923083157424147,-0.539153776968788,-0.0637785527310567,38223,0.799758469369832,-0.06228644527107785,0.12192799465785771,0.08925000000000001,0.21117799465785775,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,1.5,2.0,-0.2949257490804026,-0.05325379408398778,0.2681940742462334,-0.07030757626925498,-0.5304697177236466,-0.10038988523701341,38223,0.7050742509195974,-0.06228644527107785,0.06657923898660448,0.04925,0.11582923898660447,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,1.5,2.0,0.34988683009491917,0.048104464257248125,0.22744125143371585,0.3199093791752763,-0.3512489539826802,0.13695261925141597,38223,1.3498868300949192,-0.05734041578899168,0.17584471947153202,0.12955,0.305394719471532,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,1.5,2.0,0.13298492089747493,0.01974480253480948,0.23518936390038767,0.20044797542479922,-0.40154836453008447,0.049171667173681585,38223,1.132984920897475,-0.06228644527107785,0.09736955825422651,0.07135,0.16871955825422652,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,1.5,2.0,-0.007823545070104743,-0.0012292290083240065,0.2472581414494071,0.1182434160261671,-0.44835009407703574,-0.002741672243549925,38223,0.9921764549298953,-0.06228644527107785,0.05147124737939698,0.03785000000000001,0.08932124737939698,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,1.5,2.0,-0.6827413718986592,-0.163672900132819,0.12008214370198834,-1.4284361961017975,-0.6909282473510547,-0.23688841896437646,40076,0.31725862810134076,-0.02762325687723849,0.14248862468404727,0.1635,0.30598862468404725,,
